text,Issue_id,Severity,clean_posts
"@mpeastdiscom Sir, I have complained about the electricity cut on regular basis but nothing solution has been done in this regard.
We r getting 6-7hrs electricity in a day in installment like 3 hrs in night and 3-4 hrs in day
My complaint no is C-2392877
Please resolve the issue",0.0,0.0," mpeastdiscom complain electr regular basi noth solut done regard 
 electr instal like night 
 complaint 
pleas resolv issu"
Electricity remains unavailable for 2+ hors for last 2 days. When ever complaint message appear that your area is experiencing a know outage. @KElectricPk https://t.co/4rUxwPx3x4,0.0,0.0,electr remain unavail last ever complaint messag appear area experienc know outag kelectricpk 
"I appeal to CM @NitishKumar ji. I request that the power situation in many villages in Bihar is very bad.  You announced that you have to deliver 18 hours of electricity in 24 hours.  But this did not happen.  I request you to make good the power situation.
#ElectricityBoard",0.0,0.0,"appeal nitishkumar request power situat mani villag bihar announc deliv hour electr hour happen request make good power situat 
 electricityboard"
"RE: Well, that sure didn't take long...
But still we dont have all the phases at our home.
please look in to it at the earliest.

#CdnPoli #TNEB",0.0,1.0," well sure take long 
 still dont phase home 
pleas look earliest 

 cdnpoli tneb"
@PuVVNLHQ @UPPCLLKO @myogioffice @mduppcl @puvvnlgorakhpur @ptshrikant Respected Sir This Complaint I have done on 11 may ....And Same words I got that Ur problem will be resolved soon bt 14 Days are over Bt nobody visited yet!!! Here is the proof of this!! This is the condition of electricity officer in our #Honurable #cm #YogiAdityanath District! https://t.co/pE6WwUbAUR,0.0,0.0, puvvnlhq uppcllko myogioffic mduppcl puvvnlgorakhpur respect complaint done word problem resolv soon nobodi visit proof condit electr offic honur yogiadityanath district 
"TNEB,
How this month EB readings has been calculated ?

My Payable Amount is 1100 % higher than last month.

Resources saying, it is calculated based on 2019 May month Reading .

How come it can be calculated like that ?

@mkstalin @arivalayam @V_Senthilbalaji
#tneb @DMK_Chennai",0.0,0.0,"tneb 
 month read calcul 

 payabl amount higher last month 

resourc calcul base month read 

 come calcul like 

 arivalayam senthilbalaji
 tneb chennai"
"Greetings sir,
Facing major problems related to #electricity for a while now.
It's becoming like a hailstorm to us...nothing can be predicted when will it come.
#electricityboard 
#noelectricity #electricitydepartment #bkesl #bikaner 
@DrBDKallaINC @DrBDKalla1 @DrBDKalla",0.0,0.0,"greet 
face major problem relat electr 
 becom like hailstorm noth predict come 
 electricityboard 
 noelectr electricitydepart bkesl bikan 
 drbdkallainc drbdkalla drbdkalla"
"@jkenney ""Yes, our roads are so unsafe that most of the people dying on them are under 50, but that's because we aggressively took the licenses away from those over 50!""
""So what about making the roads safer?""
""TRUDEAU CAUSES POTHOLES!"" it needs the attention of all the authorities and solve it.

People are not following the road signs or the rules.",4.0,1.0," jkenney road unsaf peopl aggress took licens away 
 make road safer 
 trudeau caus pothol need attent author solv 

peopl follow road sign rule "
"What is the issue with TNEB ? Why are we facing power cut every now and then! It’s 1:45 am and there is no electricity. This is not the first time it’s happening!
It seems like there is some serious problem going on with TNEB, please look into it @mkstalin sir!",0.0,0.0,"issu tneb face power everi electr first time happen 
 seem like seriou problem tneb pleas look "
"@PuVVNLHQ @UPPCLLKO @abhiksingh122 @ptshrikant @puvvnlprayagraj If the electricity supply was fair and have no problem , in which regard you are trying to reslove the complaint by forwarding the same ? If the electricity supply in trouble is this not understand as RUMOUR that "" आपूर्ति सुचारू रूप से की जा रही हैं"" @Edsdsoraon1 knows the 2/n",0.0,0.0, puvvnlhq uppcllko abhiksingh puvvnlprayagraj electr suppli fair problem regard reslov complaint forward electr suppli troubl understand rumour edsdsoraon know 
"Our garbage and waste are not being picked by the collectors, it has been 2 weeks now and even after raising so many complaints nothing is resolved. need to be solved urgently",5.0,1.0,garbag wast pick collector week even rais mani complaint noth resolv need solv urgent
"The road signs and rules are basically usless in india as no one adheres to them, even the police dont take any steps against them.",4.0,0.0,road sign rule basic usless india adher even polic dont take step 
@Keetmunjawa @Stink11385759 @rebeccagzr @thepennyhoarder Michigan is definitely the state for the potholes. They are RIDICULOUS. My brother-In-law and my sister moved up from Alabama and he took a video from leaving Indiana and finally crossing the border to Michigan and his phone was never still for more than 3 seconds. 💀,4.0,0.0, keetmunjawa stink rebeccagzr thepennyhoard michigan definit state pothol ridicul brother sister move alabama took video leav indiana final cross border michigan phone never still second 
